Timestamp,SequenceNumber,MavlinkCommand,IPSourceHost,TCPSourcePort,IPDestHost,TCPDestPort,PacketLength
1679497279.677023501,3927588981,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.677186767,3927589110,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.717027798,3927589179,33,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.717150629,3927589219,2,172.16.0.8,5760,10.241.115.1,38510,75
1679497279.717189405,3927589242,,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.717205817,3927589282,,172.16.0.8,5760,10.241.115.1,38510,66
1679497279.717221153,3927589296,136,172.16.0.8,5760,10.241.115.1,38510,86
1679497279.717236486,3927589330,,172.16.0.8,5760,10.241.115.1,38510,86
1679497279.726019310,3927589364,32,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.726120863,3927589404,241,172.16.0.8,5760,10.241.115.1,38510,84
1679497279.747902356,3927589436,102,172.16.0.8,5760,10.241.115.1,38510,348
1679497279.747970926,3927589732,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.747986752,3927589861,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.796396075,3927589930,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.796468128,3927590059,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.836542437,3927590128,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.836602519,3927590257,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.836634451,3927590326,30,172.16.0.8,5760,10.241.115.1,38510,92
1679497279.836642021,3927590366,74,172.16.0.8,5760,10.241.115.1,38510,82
1679497279.845693651,3927590396,,172.16.0.8,5760,10.241.115.1,38510,80
1679497279.845813870,3927590424,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.845840643,3927590553,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.916541498,3927590622,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.916615516,3927590751,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.916630455,3927590820,1,172.16.0.8,5760,10.241.115.1,38510,95
1679497279.916655622,3927590863,125,172.16.0.8,5760,10.241.115.1,38510,69
1679497279.925351004,3927590880,,172.16.0.8,5760,10.241.115.1,38510,70
1679497279.925424527,3927590898,62,172.16.0.8,5760,10.241.115.1,38510,72
1679497279.925435764,3927590918,42,172.16.0.8,5760,10.241.115.1,38510,65
1679497279.925443896,3927590931,36,172.16.0.8,5760,10.241.115.1,38510,76
1679497279.925451535,3927590955,65,172.16.0.8,5760,10.241.115.1,38510,106
1679497279.925459157,3927591009,27,172.16.0.8,5760,10.241.115.1,38510,93
1679497279.935068061,3927591050,29,172.16.0.8,5760,10.241.115.1,38510,410
1679497279.958682759,3927591408,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.958880960,3927591537,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497279.984511814,3927591606,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497279.984601928,3927591735,103,172.16.0.8,5760,10.241.115.1,38510,121
1679497280.036621041,3927591804,102,172.16.0.8,5760,10.241.115.1,38510,181
1679497280.036718930,3927591933,103,172.16.0.8,5760,10.241.115.1,38510,121
